"image","xmin","ymin","xmax","ymax","label"
"IMG_5922.JPG",305.8401349837405,487.1314453125,731.2614882415926,1158.5829241071428,"2"
"IMG_5921.JPG",75.58632787714149,572.7086216517857,547.0584090954155,1235.382924107143,"2"
"IMG_5925.JPG",3.2207787218432737,414.7199916294643,435.2208791045368,1103.725697544643,"2"
"IMG_5920.JPG",204.9670719979378,357.66859654017856,604.0736040609137,1009.3714285714285,"2"
"IMG_5919.JPG",264.1751269035533,373.0285714285714,549.2512690355329,963.2914620535714,"1"
"IMG_5926.JPG",391.3630110842322,566.1256975446429,871.606699367465,1327.5428571428572,"3"
"IMG_5929.JPG",323.38334911365797,331.3371512276786,781.6979360822493,1083.9771763392857,"3"
"IMG_5928.JPG",404.5203380294257,357.66859654017856,858.4492051177823,1145.4171595982143,"3"
"IMG_5927.JPG",143.5659898477157,390.58288225446427,619.4239582507138,1176.137109375,"3"
"IMG_5931.JPG",406.7131979695431,432.27430245535714,858.4492051177823,1237.5771763392856,"3"
"IMG_5936.JPG",226.8960060080901,423.49716796875,691.7893401015228,1206.857142857143,"3"
"IMG_5939.JPG",141.37312990759833,458.60574776785717,676.4391532162119,1263.9085379464286,"4"
"IMG_5933.JPG",277.3324538487468,550.7657645089286,783.8909633268559,1340.7085379464286,"3"
"IMG_5940.JPG",283.91120097358817,397.16572265625,797.0482902720494,1149.8057477678572,"4"
"IMG_5938.JPG",259.7894070233185,689.0057477678572,889.1497461928933,1478.9486049107145,"4"
"IMG_5948.JPG",218.12439894313133,280.8685965401786,724.6827411167512,1145.4171595982143,"5"
"IMG_5945.JPG",218.12439894313133,533.2114118303572,757.5761421319796,1309.988671875,"4"
"IMG_5942.JPG",126.02294302228742,561.7371930803572,683.0177330365641,1380.2057477678572,"4"
"IMG_5947.JPG",178.65225080306152,335.72573939732143,674.2462932760945,1215.6343191964286,"5"
"IMG_5951.JPG",400.13461814919094,318.1714285714286,915.4645673877695,1138.8343191964286,"5"
"IMG_5952.JPG",397.94159090458436,500.2971261160714,882.5711663725413,1288.0458147321428,"5"
"IMG_5953.JPG",238.47715736040607,552.9600167410714,696.1752272862467,1334.1257812499998,"5"
"IMG_5954.JPG",220.3172588832487,458.60574776785717,628.1953980111833,1136.6399832589286,"5"
"IMG_5955.JPG",226.8960060080901,572.7086216517857,636.9670050761421,1270.4914620535715,"5"
"IMG_5956.JPG",231.28172588832481,296.22857142857146,701.725888324873,1045.0285714285715,"6"
"IMG_5958.JPG",336.5406760588515,348.89142020089287,812.3984771573603,1156.388671875,"6"
"IMG_5966.JPG",44.88578680203045,412.52573939732144,525.1294750852633,1184.9142857142856,"6"
"IMG_5962.JPG",279.5254810933534,272.09142020089286,753.1904222517448,1004.9828404017858,"6"
"IMG_5959.JPG",108.47972889236992,533.2114118303572,652.3173592659423,1277.0743861607143,"6"
"IMG_5960.JPG",213.73867906289655,331.3371512276786,685.2107602811707,1051.0628906250001,"6"
"IMG_5976.JPG",84.35793494210024,664.8685546875,608.4594912456377,1380.2057477678572,"7"
"IMG_5979.JPG",222.5101188233661,675.8399832589286,737.8400680619447,1362.6513950892859,"7"
"IMG_5975.JPG",220.3172588832487,517.8514787946428,665.4746862111358,1152,"7"
"IMG_5974.JPG",119.44419589744605,627.5657645089286,568.9873431055679,1303.405747767857,"7"
"IMG_5977.JPG",1.0279187817258881,524.4343191964285,437.41373904465416,1246.3543526785716,"7"
"IMG_5992.JPG",231.28172588832484,509.07430245535716,632.5812851959073,1119.0857142857144,"8"
"IMG_5985.JPG",435.2208791045368,592.4571428571429,867.220812182741,1250.7428571428572,"8"
"IMG_5994.JPG",380.39854407915607,528.8229073660715,759.769002072097,1143.2229073660715,"8"
"IMG_5990.JPG",288.29692085382294,717.5314453125,715.9111340517925,1325.3486049107141,"8"
"IMG_5991.JPG",219.28934010152284,574.9028738839286,584.3375299908787,1202.4686383928572,"8"
"IMG_6005.JPG",229.08886594820746,524.4343191964285,658.8959390862943,1244.1601004464285,"9"
"IMG_5999.JPG",14.185245726919415,533.2114118303572,487.85035418980004,1318.7656808035715,"9"
"IMG_5996.JPG",106.28686895225253,737.2800502232143,514.1650080801871,1395.5656808035715,"9"
"IMG_6002.JPG",134.79438278275697,333.5314453125,601.8807441207963,1051.062890625,"9"
"IMG_5998.JPG",71.20060799690673,825.0514787946429,490.0432141299175,1428.479966517857,"9"
"IMG_6011.JPG",338.7335359989689,636.3428571428572,608.4594912456377,1316.5714285714284,"1"
"IMG_6010.JPG",316.8046019888166,331.3371512276786,641.3528922608662,1059.8399832589287,"1"
"IMG_6008.JPG",200.5811848132138,649.5086216517857,621.6168181908312,1323.1543526785713,"9"
"IMG_6006.JPG",237.86047301316623,770.1943359375,621.6168181908312,1369.2343191964287,"9"
"IMG_6013.JPG",439.60659898477155,842.6057477678571,693.9822000416402,1395.5656808035715,"1"
"IMG_6019.JPG",332.1547888741275,397.16572265625,647.9314720812182,1198.0799665178572,"1"
